
1	1491123423	0.09893355075506567, 0.0, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.0, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.0, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.0, 0.20311742291491963, 0.11805730947945428
1	1491123423	0.09893355075506567, 0.30693123059570865, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.03246919747158785, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.49877206019190573, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.015874147765225454, 0.20311742291491963, 0.11805730947945428
1	1491123423	0.09893355075506567, 0.21639706872980213, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.03516918985781371, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.5593843868749262, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.016897398948536667, 0.20311742291491963, 0.11805730947945428
1	1491123423	0.09893355075506567, 0.25052433773438065, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.043167553239721816, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.496230344937024, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.01817344684483848, 0.20311742291491963, 0.11805730947945428
1	1491123423	0.09893355075506567, 0.23681768628370908, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.05185945575508028, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.4837391035515336, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.020032511526276876, 0.20311742291491963, 0.11805730947945428
1	1491123423	0.09893355075506567, 0.20385317871726802, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.06023422381489663, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.4945137237376788, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.022204022535214047, 0.20311742291491963, 0.11805730947945428
1	1491123423	0.09893355075506567, 0.16369844063062264, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.0680514256573777, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.5157558560442389, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.0244894587362941, 0.20311742291491963, 0.11805730947945428
1	1491123423	0.09893355075506567, 0.14568856007589154, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.0729326514493852, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.5266660629776044, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.02600819439465635, 0.20311742291491963, 0.11805730947945428
1	1491123424	0.09893355075506567, 0.14394981868279494, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.0750559949142107, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.5295104615687164, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.026771057202877868, 0.20311742291491963, 0.11805730947945428
1	1491123424	0.09893355075506567, 0.15035372605431724, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.07522725949396765, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.5273951657715471, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.02693619170068733, 0.20311742291491963, 0.11805730947945428
1	1491123424	0.09893355075506567, 0.15960159804917132, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.07444884313836475, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.5229287550594245, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.026714857327214785, 0.20311742291491963, 0.11805730947945428
1	1491123424	0.09893355075506567, 0.16949904479072586, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.07364837063189285, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.5169003528561333, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.02648298809650961, 0.20311742291491963, 0.11805730947945428
1	1491123424	0.09893355075506567, 0.17737245309965133, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.07292849628259156, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.5141038433506032, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.0265336814663261, 0.20311742291491963, 0.11805730947945428
1	1491123424	0.09893355075506567, 0.1796298062824267, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.07349111060740958, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.5160811768402755, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.028064353700917487, 0.20311742291491963, 0.11805730947945428
1	1491123424	0.09893355075506567, 0.24692179885981327, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.06824118206292827, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.47724680913132, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.028856174793607168, 0.20311742291491963, 0.11805730947945428
1	1491123424	0.09893355075506567, 0.3265120139176592, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.06050643643999161, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.42778227531793034, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.028710829834989394, 0.20311742291491963, 0.11805730947945428
1	1491123424	0.09893355075506567, 0.34191509523890556, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.05744263721344556, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.41680008533878815, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.02966978458543159, 0.20311742291491963, 0.11805730947945428
1	1491123425	0.09893355075506567, 0.31103383956030123, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.05846669856993319, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.43351976460402714, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.0316544709240484, 0.20311742291491963, 0.11805730947945428
1	1491123425	0.09893355075506567, 0.30225955098468943, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.05966719720196854, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.4387170844595696, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.03246650538821039, 0.20311742291491963, 0.11805730947945428
1	1491123425	0.09893355075506567, 0.3011363227619854, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.06035034917387409, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.43995343324484165, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.033472543614834684, 0.20311742291491963, 0.11805730947945428
1	1491123425	0.09893355075506567, 0.3092809132299608, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.05991218101392224, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.4366506118027454, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.034678808568584345, 0.20311742291491963, 0.11805730947945428
1	1491123425	0.09893355075506567, 0.32175727858419795, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.058285722247469286, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.43131135537199383, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.036046589462127875, 0.20311742291491963, 0.11805730947945428
1	1491123425	0.09893355075506567, 0.32934012463890827, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.05630898835249636, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.4284150962289142, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.03739933331232815, 0.20311742291491963, 0.11805730947945428
1	1491123425	0.09893355075506567, 0.3235018021837224, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.05548557995170451, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.43227366776918796, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.03868537792550827, 0.20311742291491963, 0.11805730947945428
1	1491123425	0.09893355075506567, 0.3044740583933381, 0.33630687587092045, 0.15956163051261746	0.08813899184699335, 0.056421782435956275, 0.24515604028264715, 0.2902328807763614	0.6150189747576694, 0.44357968098772443, 0.15232590910043567, 0.30391164960127703	0.05749412706086954, 0.040058894748550754, 0.20311742291491963, 0.11805730947945428
